,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Jade Moore, ENG,MF,28,14,14,"1,232",/en/players/4319f536/matchlogs/2019-2020/Jade-Moore-Match-Logs
1,Fara Williams, ENG,"MF,FW",35,14,14,"1,217",/en/players/8054c3f7/matchlogs/2019-2020/Fara-Williams-Match-Logs
2,Angharad James, WAL,"MF,DF",25,14,13,"1,134",/en/players/6444e5a0/matchlogs/2019-2020/Angharad-James-Match-Logs
3,Brooke Chaplen, ENG,FW,30,14,13,"1,007",/en/players/a7600cca/matchlogs/2019-2020/Brooke-Chaplen-Match-Logs
4,Amalie Eikeland,NOR,FW,23,14,12,"1,098",/en/players/e9c71e6d/matchlogs/2019-2020/Amalie-Eikeland-Match-Logs
5,Remi Allen, ENG,MF,28,12,12,"1,080",/en/players/29bbd006/matchlogs/2019-2020/Remi-Allen-Match-Logs
6,Kristine Leine,NOR,DF,23,11,11,990,/en/players/c125174e/matchlogs/2019-2020/Kristine-Leine-Match-Logs
7,Rachel Rowe, WAL,DF,26,12,11,946,/en/players/3a336e9f/matchlogs/2019-2020/Rachel-Rowe-Match-Logs
8,Sophie Howard, SCO,DF,25,11,11,912,/en/players/4b98901d/matchlogs/2019-2020/Sophie-Howard-Match-Logs
9,Grace Moloney,IRL,GK,26,10,10,827,/en/players/dd0c049a/matchlogs/2019-2020/Grace-Moloney-Match-Logs
10,Jo Potter, ENG,DF,34,9,8,709,/en/players/ffe84701/matchlogs/2019-2020/Jo-Potter-Match-Logs
11,Mayumi Pacheco, ENG,DF,20,9,7,681,/en/players/3dec204f/matchlogs/2019-2020/Mayumi-Pacheco-Match-Logs
12,Natasha Harding, WAL,"DF,FW",30,8,6,569,/en/players/8d6d0bf1/matchlogs/2019-2020/Natasha-Harding-Match-Logs
13,Rachael Laws, ENG,GK,28,5,4,430,/en/players/7b45e2ca/matchlogs/2019-2020/Rachael-Laws-Match-Logs
14,Lisa-Marie Karlseng Utland,NOR,"FW,MF",26,10,3,353,/en/players/f7fefe42/matchlogs/2019-2020/Lisa-Marie-Karlseng-Utland-Match-Logs
15,Millie Farrow, ENG,FW,23,9,3,268,/en/players/1f35609f/matchlogs/2019-2020/Millie-Farrow-Match-Logs
16,Molly Bartrip, ENG,DF,23,4,2,243,/en/players/a6f1d507/matchlogs/2019-2020/Molly-Bartrip-Match-Logs
17,Rakel Hönnudóttir,ISL,FW,30,4,0,45,/en/players/324189ae/matchlogs/2019-2020/Rakel-Honnudottir-Match-Logs
18,Maxime Bennink,NED,DF,22,0,0,,/en/players/7dce3e0b/matchlogs/2019-2020/Maxime-Bennink-Match-Logs
19,Molly Childerhouse,,MF,,0,0,,/en/players/666d8c77/matchlogs/2019-2020/Molly-Childerhouse-Match-Logs
20,Mia Cruickshank,,DF,,0,0,,/en/players/f408585b/matchlogs/2019-2020/Mia-Cruickshank-Match-Logs
21,Sophie Quirk, ENG,FW,17,0,0,,/en/players/64167772/matchlogs/2019-2020/Sophie-Quirk-Match-Logs
22,Niamh Reynolds,IRL,MF,17,0,0,,/en/players/5d52d99b/matchlogs/2019-2020/Niamh-Reynolds-Match-Logs
23,Kiera Skeels, ENG,DF,18,0,0,,/en/players/56711af8/matchlogs/2019-2020/Kiera-Skeels-Match-Logs
24,Rhiannon Stewart,,GK,,0,0,,/en/players/2cfe4b0a/matchlogs/2019-2020/Rhiannon-Stewart-Match-Logs
